6065013	6066138	2
6065076	6065013	1
6067781	6066387	2
6065477	6062893	1
3075996	3078667	1
1096338	1098765	1
6062549	6037109	1
1102911	3080797	2
4090773	4095085	2
4033055	4052525	2
4044020	4083064	1
1100259	4085925	2
1102835	1100678	1
1102905	1102582	2
4093284	6064775	2
6005582	6029112	1
1019500	1004091	1
1077365	1085561	1
1100048	1100649	2
3083636	3064385	2
4089665	6061552	1
1076777	3073662	2
6063501	6068379	2
6059432	2198398	2
4052022	4078939	2
4084355	4079095	2
4088428	4075758	2
6044839	6054126	1
3022407	4042680	1
4066189	4047481	1
4093282	4090192	1
1100384	1102127	1
4086113	4079348	2
1099088	1098052	1
1098624	1101130	1
4077181	4082958	2
4073536	0016731	2
1085610	3011495	2
3080190	1072058	2
1085021	1085963	1
0278457	3015900	1
3032628	3003414	1
1054159	1074948	1
1092276	1100481	2
3058706	3083465	2
1102384	1095184	1
4085925	1100678	1
6042097	1088676	2
1093472	1094765	1
1096616	1097702	1
1091857	1008091	1
4020143	4089843	1
6063555	6064015	1
1093445	1093708	2
2011364	1063457	2
1091637	6060215	2
6059636	6063519	1
3084886	3068161	2
3000917	1072703	1
3075248	6066627	2
4094706	4082735	1
1096330	3080050	2
6062873	6062931	1
6059958	4083924	2
6002412	6046153	2
3085270	3025253	1
1100168	3083558	2
6021244	6056092	1
4076397	4084487	1
1036857	0092857	2
4073804	4042844	2
1097908	1099220	2
1073438	1093132	1
1076640	1069013	2
1081676	6009912	1
1089849	1085849	1
1098624	1102742	1
6060671	1095962	1
1091976	1100156	2
1094897	1098765	1
1090505	1094208	1
4028203	4051925	1
1079840	1090297	1
4073606	4005914	1
4079198	4070387	2
4026739	4048785	2
3059000	3019661	1
4082292	6014954	1
6039666	6030589	1
4081424	4087549	1
3082692	3081818	1
1091638	4088795	1
4052634	4076818	2
3078352	3060741	2
4044167	4019254	2
1098804	1100121	2
0268214	3027105	2
4085925	1102835	1
1100259	1100678	1
3060944	3047497	1
1071334	1095029	1
3066524	2025960	1
1028888	1077741	1
3013075	3056522	1
3070060	3070185	2
6027295	6046594	2
2002657	2148021	1
3062506	1040342	1
1010205	1068549	2
1098411	1099926	1
1085316	1038063	1
4093499	4011849	1
4091750	6061158	2
1074477	1098018	2
4003683	4039824	1
1098768	1095758	1
1102742	1101130	2
1036528	1071486	1
1099906	1095826	1
3083548	3083646	2
1093982	1092810	1
4067218	2042876	1
6065173	4091468	2
1095465	1095110	2
3084315	3056680	2
3011116	3007795	1
4079528	4095923	2
4084013	4084431	2
6050173	6049703	1
3007976	2023830	2
4093666	4042701	2
1078544	1052096	1
1086224	1068166	2
4078828	4082358	2
1027257	0864557	1
3081625	3085952	1
1091530	1098078	1
1087322	1090264	1
1087708	1098978	1
6043383	6024788	1
6057478	6053354	1
4082927	4084557	2
1102228	3031980	2
4030492	4092614	1
4043390	4084436	1
6045595	4044115	1
3003198	3071358	1
3066518	3071623	1
6033630	6052959	1
3034162	6052290	2
1080260	1088304	1
3055649	3078447	2
4045181	4048409	2
1101127	1060263	1
1082239	0829160	2
1037097	1078503	1
4054549	4063110	2
4079958	4061985	1
4012480	4075719	2
3079452	3083556	2
4053286	2063667	2
1102121	0765161	2
3044404	4093146	2
1065555	1050982	2
6039186	1063576	1
3029150	3069475	1
4007895	4065542	2
1078533	1078953	2
3077729	3012873	1
1097640	6051421	2
4081543	4083887	2
3082002	3085648	1
6016392	3063495	1
1048387	1031720	1
1001324	1016850	2
6059958	4094954	2
6019290	3051556	2
1004135	1004764	2
6068741	6038033	1
1048588	1083003	1
1091638	6053085	1
1100323	1015974	1
4072057	4074688	1
4059692	1025242	2
4053791	6059710	2
4083253	4083979	2
4089159	4045857	1
4049104	4050553	1
6067231	6007215	2
4062185	4048741	1
3009389	3074971	1
1093803	1101737	2
6019994	6058312	2
1053396	1044784	2
1096573	4028113	2
4007007	4032913	1
6038711	6048003	1
4050452	4024384	1
3069198	3005463	2
6003951	6043991	1
6003806	6027031	1
4087188	4092782	2
4011299	4054316	2
4083846	4086448	2
4063702	0026444	2
1085953	1082482	2
1072551	1068087	2
1069219	2019862	2
3042239	3077269	1
